"WebID","Area","Data_label","2016","2016%","2011","2011%","2006","2006%","2001","2001%","Data Type",
"20","Greater Capital Cities","Nepal","49179","0.3240","22637","0.1647","4182","0.0332","2356","0.0199","UR",
"20","Greater Capital Cities","New Caledonia","828","0.0055","776","0.0056","734","0.0058","722","0.0061","UR",
"20","Greater Capital Cities","Nigeria","6460","0.0426","3439","0.0250","1915","0.0152","1475","0.0125","UR",
"20","Greater Capital Cities","Norway","2638","0.0174","2614","0.0190","2513","0.0200","2964","0.0251","UR",
"20","Greater Capital Cities","Oman","1421","0.0094","957","0.0070","756","0.0060","325","0.0028","UR",
"20","Greater Capital Cities","Pakistan","55320","0.3645","26816","0.1951","15289","0.1214","10647","0.0901","UR",
"20","Greater Capital Cities","Peru","8385","0.0552","7413","0.0539","5574","0.0443","4987","0.0422","UR",
"20","Greater Capital Cities","Samoa","21871","0.1441","17224","0.1253","13824","0.1098","12023","0.1018","UR",
"20","Greater Capital Cities","Saudi Arabia","10898","0.0718","8447","0.0615","2979","0.0237","1408","0.0119","UR",
"20","Greater Capital Cities","Seychelles","2084","0.0137","2205","0.0160","2081","0.0165","2055","0.0174","UR",
"20","Greater Capital Cities","Sierra Leone","2978","0.0196","2673","0.0194","1499","0.0119","338","0.0029","UR",
"20","Greater Capital Cities","Slovakia","3696","0.0244","3276","0.0238","2771","0.0220","2458","0.0208","UR",
"20","Greater Capital Cities","Slovenia","4021","0.0265","4421","0.0322","4540","0.0360","4903","0.0415","UR",
"20","Greater Capital Cities","Somalia","7384","0.0486","5457","0.0397","4215","0.0335","3635","0.0308","UR",
"20","Greater Capital Cities","Sudan/South Sudan","21697","0.1429","19577","0.1424","17035","0.1353","4606","0.0390","UR",
"20","Greater Capital Cities","Sweden","6845","0.0451","5809","0.0423","5300","0.0421","4687","0.0397","UR",
"20","Greater Capital Cities","Switzerland","8112","0.0534","8077","0.0588","7622","0.0605","7355","0.0623","UR",
"20","Greater Capital Cities","Syria","14329","0.0944","8008","0.0583","6723","0.0534","6422","0.0544","UR",
"20","Greater Capital Cities","Tanzania","3122","0.0206","2750","0.0200","1799","0.0143","1370","0.0116","UR",
"20","Greater Capital Cities","Tonga","8092","0.0533","7384","0.0537","6288","0.0499","6192","0.0524","UR",
"20","Greater Capital Cities","Trinidad and Tobago","1107","0.0073","1059","0.0077","993","0.0079","883","0.0075","UR",
"20","Greater Capital Cities","Uganda","2745","0.0181","2193","0.0160","1406","0.0112","999","0.0085","UR",
"20","Greater Capital Cities","United Arab Emirates","7196","0.0474","4265","0.0310","2630","0.0209","1212","0.0103","UR",
